Line: 171, position 15: строк выравниваются по заданной позиции за счет
Line: 303, position 12: имеются очереди из кафедр
Line: 363, position 62: вершин
Line: 449, position 7: вершин
Line: 453, position 34: вершин
Line: 457, position 53: Требуется определить
Line: 458, position 63: вершин
Line: 463, position 53: Требуется определить
Line: 465, position 35: вершин
Line: 468, position 24: вершин
Line: 480, position 9: вершин
Line: 487, position 22: вершин
Line: 488, position 25: вершин
Line: 497, position 36: вершин
Line: 506, position 55: вершин
Line: 516, position 22: вершин
Line: 520, position 16: правильность идентификаторов
Line: 550, position 9: вершин
Line: 600, position 9: вершин
Line: 608, position 4: вершин
Line: 610, position 35: вершин
Line: 611, position 51: вершин
Line: 614, position 14: вершин
Line: 616, position 28: вершин
Line: 625, position 34: вершин
Line: 626, position 39: вершин
Line: 681, position 11: вершин
Line: 688, position 35: вершин
Line: 688, position 55: вершин
Line: 692, position 40: вершин
Line: 785, position 63: вершин
Line: 827, position 24: вершин
Line: 837, position 24: вершин
Line: 859, position 42: Требуется определить
Line: 909, position 25: вершин
Line: 916, position 19: вершин
Line: 1104, position 53: Требуется определить
Line: 1422, position 21: вершин
Line: 1436, position 41: вершин
Line: 1453, position 36: вершин
Line: 1468, position 47: вершин
Line: 1476, position 48: вершин
Line: 1557, position 30: вершин
Line: 1560, position 34: вершин
Line: 1580, position 41: вершин
Line: 1618, position 45: вершин
Line: 1619, position 39: вершин
Line: 1621, position 33: вершин
Line: 1637, position 30: вершин
Line: 1637, position 52: вершин
Line: 1638, position 42: вершин
Line: 1654, position 49: вершин
Line: 1944, position 15: строк выравниваются по заданной позиции за счет
Line: 2076, position 12: имеются очереди из кафедр
Line: 2136, position 62: вершин
Line: 2222, position 7: вершин
Line: 2226, position 34: вершин
Line: 2230, position 53: Требуется определить
Line: 2231, position 63: вершин
Line: 2236, position 53: Требуется определить
Line: 2238, position 35: вершин
Line: 2241, position 24: вершин
Line: 2253, position 9: вершин
Line: 2260, position 22: вершин
Line: 2261, position 25: вершин
Line: 2270, position 36: вершин
Line: 2279, position 55: вершин
Line: 2289, position 22: вершин
Line: 2293, position 16: правильность идентификаторов
Line: 2323, position 9: вершин
Line: 2373, position 9: вершин
Line: 2381, position 4: вершин
Line: 2383, position 35: вершин
Line: 2384, position 51: вершин
Line: 2387, position 14: вершин
Line: 2389, position 28: вершин
Line: 2398, position 34: вершин
Line: 2399, position 39: вершин
Line: 2454, position 11: вершин
Line: 2461, position 35: вершин
Line: 2461, position 55: вершин
Line: 2465, position 40: вершин
Line: 2558, position 63: вершин
Line: 2600, position 24: вершин
Line: 2610, position 24: вершин
Line: 2632, position 42: Требуется определить
Line: 2682, position 25: вершин
Line: 2689, position 19: вершин
Line: 2877, position 53: Требуется определить
Line: 3195, position 21: вершин
Line: 3209, position 41: вершин
Line: 3226, position 36: вершин
Line: 3241, position 47: вершин
Line: 3249, position 48: вершин
Line: 3330, position 30: вершин
Line: 3333, position 34: вершин
Line: 3353, position 41: вершин
Line: 3391, position 45: вершин
Line: 3392, position 39: вершин
Line: 3394, position 33: вершин
Line: 3410, position 30: вершин
Line: 3410, position 52: вершин
Line: 3411, position 42: вершин
Line: 3427, position 49: вершин
Line: 3717, position 15: строк выравниваются по заданной позиции за счет
Line: 3849, position 12: имеются очереди из кафедр
Line: 3909, position 62: вершин
Line: 3995, position 7: вершин
Line: 3999, position 34: вершин
Line: 4003, position 53: Требуется определить
Line: 4004, position 63: вершин
